date,asset,n_news_total,sent_index_mean,sent_index_strength,share_pos,share_neg,share_neu
2025-12-03,USD/PEN,1,0.1154188811779022,0.0960048525159518,0.0,0.0,1.0
2025-12-07,USD/PEN,1,-0.9337967466562986,-0.889424578927795,0.0,1.0,0.0
2025-12-08,USD/PEN,29,0.083445287309587,0.0652579644623223,0.0344827586206896,0.0,0.9655172413793104
2025-12-12,USD/PEN,26,0.0562730743907965,0.0436676634302499,0.0384615384615384,0.0769230769230769,0.8846153846153846
2025-12-13,USD/PEN,3,0.0692121485869089,0.0616328470006374,0.0,0.0,1.0
2025-12-15,USD/PEN,30,0.1057656077978511,0.0820756922866064,0.0666666666666666,0.0,0.9333333333333332
2025-12-16,USD/PEN,1,0.0590671673417091,0.0522326696952428,0.0,0.0,1.0
2025-12-24,USD/PEN,29,0.1048461747323644,0.0800733390169094,0.0344827586206896,0.0,0.9655172413793104
2025-12-25,USD/PEN,1,0.1003037113696336,0.0856973844437108,0.0,0.0,1.0
2025-12-26,USD/PEN,26,0.1096520281683367,0.0851285670298239,0.0,0.0,1.0
2025-12-27,USD/PEN,2,0.0664591565728187,0.0595501560863412,0.0,0.0,1.0
2025-12-30,USD/PEN,26,0.1409764531283424,0.1030907873338614,0.0384615384615384,0.0,0.9615384615384616
2026-01-01,USD/PEN,4,0.1623741551302373,0.084535467822399,0.25,0.0,0.75
