mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model_family
0.004773902893066406,0.0006154455092176402,0.0025168418884277343,0.0010099554713760466,0.19069966103000435,,l2,liblinear,"{'clf__C': np.float64(0.19069966103000435), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.7577818627450981,0.8290875790875791,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6775241593011201,0.17010640833278703,11,0.6698941613492593,0.6210795282293865,0.7093354387678055,0.7184931863900905,0.6064514958981911,0.6650507621269466,0.04518412824290517,LogisticRegression
0.004326438903808594,0.000823079012659355,0.0019129276275634765,0.00037668450233329796,0.009962513222055111,,l2,liblinear,"{'clf__C': np.float64(0.009962513222055111), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8224587912087913,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6811984017253626,0.1716309488253727,3,0.6702394650268467,0.619138999329117,0.7111384872125457,0.7201916291811673,0.6077311453141389,0.6656879452127631,0.0460063358336381,LogisticRegression
0.003711891174316406,0.001032443113067903,0.0020233154296875,0.0004636068882340383,0.9163741808778786,,l1,liblinear,"{'clf__C': np.float64(0.9163741808778786), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8253787878787878,0.5033068783068784,0.48318250377073907,0.8474587912087913,0.6771717647820589,0.1557306934885472,12,0.67030970929439,0.6230938555749457,0.7053466721973343,0.7177271984883726,0.6024324281166097,0.6637819727343305,0.04494354785835109,LogisticRegression
0.00478515625,0.0009455709894994613,0.002627134323120117,0.0003684792885615012,1.0907475835157696,,l1,liblinear,"{'clf__C': np.float64(1.0907475835157696), 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8253787878787878,0.5033068783068784,0.48318250377073907,0.8538690476190477,0.6784538160641101,0.15714724597484128,9,0.67030970929439,0.6230938555749457,0.7045654221973342,0.7171924391300839,0.6052105867771215,0.664074402594775,0.043918746726468845,LogisticRegression
0.004946517944335938,0.000954448045144363,0.0023091793060302734,0.0009251297185169522,0.0021147447960615704,balanced,l1,liblinear,"{'clf__C': np.float64(0.0021147447960615704), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.004731369018554687,0.0007488316136315998,0.0024297237396240234,0.000804846643687791,67.32248920775338,balanced,l2,liblinear,"{'clf__C': np.float64(67.32248920775338), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8170454545454545,0.5033068783068784,0.48318250377073907,0.8538690476190477,0.6767871493974436,0.15561689536338738,15,0.6714425224333203,0.6229392856613165,0.7055635410899247,0.719991252619687,0.6070622050161673,0.6653997613640832,0.0443532130927805,LogisticRegression
0.004735326766967774,0.0005094251925119408,0.0021074771881103515,0.0005786044446996251,0.03334792728637585,,l2,liblinear,"{'clf__C': np.float64(0.03334792728637585), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8290875790875791,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6825241593011201,0.1727390146733524,1,0.668648898730398,0.6238936162049459,0.7094984210880688,0.7207587981975342,0.6095435023896537,0.6664686473221202,0.04440009191170196,LogisticRegression
0.004724454879760742,0.0005058704126486436,0.0019261360168457032,0.0007385403378162187,2.6373339933815254,,l2,liblinear,"{'clf__C': np.float64(2.6373339933815254), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.7265318627450981,0.8253787878787878,0.5033068783068784,0.48318250377073907,0.8538690476190477,0.6784538160641101,0.15714724597484128,9,0.67030970929439,0.6237643804786106,0.7039471283449602,0.7172483843731949,0.6036387157982986,0.6637816636578908,0.0441205786174685,LogisticRegression
0.002824258804321289,0.0008810759464888902,0.0022159099578857424,0.0004080155830402459,0.00407559644007287,,l2,liblinear,"{'clf__C': np.float64(0.00407559644007287), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8224587912087913,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6811984017253626,0.1716309488253727,3,0.6702394650268467,0.619138999329117,0.7111384872125457,0.7206873402031941,0.6083838259668195,0.6659176235477047,0.04596020938757716,LogisticRegression
0.003922128677368164,0.0006690730454037877,0.002304363250732422,0.0008723657604554033,0.0014857392806279248,balanced,l1,liblinear,"{'clf__C': np.float64(0.0014857392806279248), 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.4444444444444444,0.5,0.47058823529411764,0.47058823529411764,0.46601307189542485,0.020627103056286938,22,0.4714285714285714,0.4714285714285714,0.45714285714285713,0.4647887323943662,0.4647887323943662,0.4659154929577465,0.005296912049977881,LogisticRegression
0.004828691482543945,0.000686254273987118,0.0024231433868408202,0.0006673279145663773,0.01967432802530612,balanced,l2,liblinear,"{'clf__C': np.float64(0.01967432802530612), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8224587912087913,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6811984017253626,0.1716309488253727,3,0.6702394650268467,0.6196737586874057,0.7094984210880688,0.7201916291811673,0.6095435023896537,0.6658293552746285,0.04512234376148078,LogisticRegression
0.005038690567016601,0.0013042643198493465,0.002920675277709961,0.0007412773169332326,0.03618723330959624,balanced,l2,liblinear,"{'clf__C': np.float64(0.03618723330959624), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.782781862745098,0.8290875790875791,0.49430877764211095,0.4525735294117647,0.8538690476190477,0.6825241593011201,0.1727390146733524,1,0.6694174538467792,0.6238936162049459,0.7094984210880688,0.7207587981975342,0.6095435023896537,0.6666223583453964,0.044408703284741606,LogisticRegression
